timestamp: 25 Apr 2016 16:19:04 | username: nets213 | message: up\
timestamp: 25 Apr 2016 16:19:06 | username: nets213 | message: down
timestamp: 25 Apr 2016 16:19:08 | username: nets213 | message: left
timestamp: 25 Apr 2016 16:19:11 | username: nets213 | message: right
timestamp: 25 Apr 2016 16:22:43 | username: nets213 | message: up
timestamp: 25 Apr 2016 16:28:14 | username: nets213 | message: right
timestamp: 25 Apr 2016 16:28:17 | username: nets213 | message: up
timestamp: 25 Apr 2016 16:28:19 | username: nets213 | message: right
timestamp: 25 Apr 2016 16:28:20 | username: nets213 | message: up
timestamp: 25 Apr 2016 16:28:25 | username: nets213 | message: right
timestamp: 25 Apr 2016 16:28:26 | username: nets213 | message: up
timestamp: 25 Apr 2016 16:28:28 | username: nets213 | message: up
timestamp: 25 Apr 2016 16:28:29 | username: nets213 | message: right
timestamp: 25 Apr 2016 16:28:33 | username: nets213 | message: right
timestamp: 25 Apr 2016 16:28:35 | username: nets213 | message: up
timestamp: 25 Apr 2016 16:28:36 | username: nets213 | message: up
timestamp: 25 Apr 2016 16:28:43 | username: nets213 | message: up
timestamp: 25 Apr 2016 16:31:49 | username: nets213 | message: down
timestamp: 25 Apr 2016 16:31:51 | username: nets213 | message: up
timestamp: 25 Apr 2016 16:31:52 | username: nets213 | message: right
timestamp: 25 Apr 2016 16:31:54 | username: nets213 | message: up
timestamp: 25 Apr 2016 16:31:55 | username: nets213 | message: up
timestamp: 25 Apr 2016 16:31:58 | username: nets213 | message: right
timestamp: 25 Apr 2016 16:34:02 | username: nets213 | message: up
timestamp: 25 Apr 2016 16:34:04 | username: nets213 | message: right
timestamp: 25 Apr 2016 16:36:58 | username: nets213 | message: up
timestamp: 25 Apr 2016 16:37:01 | username: nets213 | message: right
timestamp: 25 Apr 2016 16:37:10 | username: nets213 | message: up
timestamp: 25 Apr 2016 16:37:14 | username: nets213 | message: down
timestamp: 25 Apr 2016 16:37:17 | username: nets213 | message: left
timestamp: 25 Apr 2016 16:37:19 | username: nets213 | message: right
timestamp: 25 Apr 2016 16:37:20 | username: nets213 | message: up
timestamp: 25 Apr 2016 16:37:23 | username: nets213 | message: right
timestamp: 25 Apr 2016 16:37:24 | username: nets213 | message: right
timestamp: 25 Apr 2016 16:39:26 | username: mic_wen | message: up
timestamp: 25 Apr 2016 16:39:35 | username: iwantbanhmi | message: up
timestamp: 25 Apr 2016 16:39:35 | username: mic_wen | message: down
timestamp: 25 Apr 2016 16:39:38 | username: iwantbanhmi | message: up
timestamp: 25 Apr 2016 16:39:39 | username: iwantbanhmi | message: up
timestamp: 25 Apr 2016 16:39:39 | username: iwantbanhmi | message: up
timestamp: 25 Apr 2016 16:39:40 | username: iwantbanhmi | message: up
timestamp: 25 Apr 2016 16:39:41 | username: iwantbanhmi | message: up
timestamp: 25 Apr 2016 16:39:48 | username: nets213 | message: right
timestamp: 25 Apr 2016 16:40:12 | username: iwantbanhmi | message: right
