timestamp: 22 Apr 2016 22:07:27 | username: nets213 | message: up
timestamp: 22 Apr 2016 22:07:28 | username: nets213 | message: down
timestamp: 22 Apr 2016 22:07:29 | username: nets213 | message: up
timestamp: 22 Apr 2016 22:07:29 | username: nets213 | message: down
timestamp: 22 Apr 2016 22:07:31 | username: nets213 | message: shiiiiiit
timestamp: 22 Apr 2016 22:07:48 | username: nets213 | message: here
timestamp: 22 Apr 2016 22:07:48 | username: nets213 | message: are
timestamp: 22 Apr 2016 22:07:49 | username: nets213 | message: more
timestamp: 22 Apr 2016 22:07:50 | username: nets213 | message: messags
timestamp: 22 Apr 2016 22:07:53 | username: nets213 | message: beeeyotch
timestamp: 22 Apr 2016 22:10:09 | username: nets213 | message: down
timestamp: 22 Apr 2016 22:10:09 | username: nets213 | message: down
timestamp: 22 Apr 2016 22:10:10 | username: nets213 | message: down
timestamp: 22 Apr 2016 22:10:11 | username: nets213 | message: down
timestamp: 22 Apr 2016 22:10:12 | username: nets213 | message: down
timestamp: 22 Apr 2016 22:10:21 | username: nets213 | message: down
timestamp: 22 Apr 2016 22:10:22 | username: nets213 | message: down
timestamp: 22 Apr 2016 22:10:22 | username: nets213 | message: down
timestamp: 22 Apr 2016 22:10:23 | username: nets213 | message: down
timestamp: 22 Apr 2016 22:10:24 | username: nets213 | message: right
timestamp: 22 Apr 2016 22:11:03 | username: nets213 | message: right
timestamp: 22 Apr 2016 22:11:04 | username: nets213 | message: right
timestamp: 22 Apr 2016 22:11:05 | username: nets213 | message: right
timestamp: 22 Apr 2016 22:11:06 | username: nets213 | message: right
timestamp: 22 Apr 2016 22:11:06 | username: nets213 | message: right
timestamp: 22 Apr 2016 22:11:15 | username: nets213 | message: down
timestamp: 22 Apr 2016 22:11:16 | username: nets213 | message: down
timestamp: 22 Apr 2016 22:11:16 | username: nets213 | message: down
timestamp: 22 Apr 2016 22:11:18 | username: nets213 | message: right
timestamp: 22 Apr 2016 22:11:19 | username: nets213 | message: right
timestamp: 24 Apr 2016 20:42:37 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 20:45:33 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 20:45:35 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 20:49:26 | username: iwantbanhmi | message: right
timestamp: 24 Apr 2016 20:50:04 | username: iwantbanhmi | message: down
timestamp: 24 Apr 2016 20:51:03 | username: iwantbanhmi | message: right
timestamp: 24 Apr 2016 20:51:07 | username: iwantbanhmi | message: right
timestamp: 24 Apr 2016 20:51:07 | username: iwantbanhmi | message: right
timestamp: 24 Apr 2016 20:51:08 | username: iwantbanhmi | message: right
timestamp: 24 Apr 2016 20:51:09 | username: iwantbanhmi | message: right
timestamp: 24 Apr 2016 20:51:14 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 20:51:19 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 20:51:20 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 20:51:20 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 20:51:21 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 20:54:33 | username: iwantbanhmi | message: hello
timestamp: 24 Apr 2016 20:57:36 | username: nets213 | message: /mod <jono_s>
timestamp: 24 Apr 2016 21:09:14 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 21:09:15 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 21:09:16 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 21:09:16 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 21:09:17 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 21:09:41 | username: nets213 | message: down
timestamp: 24 Apr 2016 21:09:50 | username: iwantbanhmi | message: down
timestamp: 24 Apr 2016 21:09:59 | username: iwantbanhmi | message: down
timestamp: 24 Apr 2016 21:10:28 | username: iwantbanhmi | message: right
timestamp: 24 Apr 2016 21:10:31 | username: iwantbanhmi | message: right
timestamp: 24 Apr 2016 21:10:33 | username: iwantbanhmi | message: right
timestamp: 24 Apr 2016 21:10:36 | username: iwantbanhmi | message: right
timestamp: 24 Apr 2016 21:10:39 | username: iwantbanhmi | message: right
timestamp: 24 Apr 2016 21:24:54 | username: iwantbanhmi | message: left
timestamp: 24 Apr 2016 21:24:55 | username: iwantbanhmi | message: left
timestamp: 24 Apr 2016 21:24:57 | username: iwantbanhmi | message: left
timestamp: 24 Apr 2016 21:24:57 | username: iwantbanhmi | message: left
timestamp: 24 Apr 2016 21:24:58 | username: iwantbanhmi | message: left
timestamp: 24 Apr 2016 21:25:07 | username: iwantbanhmi | message: left
timestamp: 24 Apr 2016 21:25:08 | username: iwantbanhmi | message: left
timestamp: 24 Apr 2016 21:25:08 | username: iwantbanhmi | message: left
timestamp: 24 Apr 2016 21:25:09 | username: iwantbanhmi | message: left
timestamp: 24 Apr 2016 21:25:10 | username: iwantbanhmi | message: left
timestamp: 24 Apr 2016 21:25:15 | username: iwantbanhmi | message: down
timestamp: 24 Apr 2016 21:25:16 | username: iwantbanhmi | message: down
timestamp: 24 Apr 2016 21:25:16 | username: iwantbanhmi | message: down
timestamp: 24 Apr 2016 21:25:17 | username: iwantbanhmi | message: down
timestamp: 24 Apr 2016 21:25:18 | username: iwantbanhmi | message: down
timestamp: 24 Apr 2016 21:25:22 | username: iwantbanhmi | message: right
timestamp: 24 Apr 2016 21:25:24 | username: iwantbanhmi | message: right
timestamp: 24 Apr 2016 21:25:25 | username: iwantbanhmi | message: right
timestamp: 24 Apr 2016 21:25:26 | username: iwantbanhmi | message: right
timestamp: 24 Apr 2016 21:25:27 | username: iwantbanhmi | message: right
timestamp: 24 Apr 2016 21:25:32 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 21:25:32 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 21:25:33 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 21:25:33 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 21:25:34 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 21:25:37 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 21:25:38 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 21:25:38 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 21:25:39 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 21:25:40 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 21:25:43 | username: iwantbanhmi | message: left
timestamp: 24 Apr 2016 21:25:43 | username: iwantbanhmi | message: left
timestamp: 24 Apr 2016 21:25:44 | username: iwantbanhmi | message: left
timestamp: 24 Apr 2016 21:25:45 | username: iwantbanhmi | message: left
timestamp: 24 Apr 2016 21:25:45 | username: iwantbanhmi | message: left
timestamp: 24 Apr 2016 21:25:56 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 21:25:57 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 21:25:57 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 21:25:58 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 21:25:59 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 21:26:04 | username: iwantbanhmi | message: right
timestamp: 24 Apr 2016 21:26:05 | username: iwantbanhmi | message: right
timestamp: 24 Apr 2016 21:26:06 | username: iwantbanhmi | message: right
timestamp: 24 Apr 2016 21:26:07 | username: iwantbanhmi | message: right
timestamp: 24 Apr 2016 21:26:08 | username: iwantbanhmi | message: right
timestamp: 24 Apr 2016 21:26:10 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 21:26:11 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 21:26:11 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 21:26:12 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 21:26:12 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 21:50:58 | username: amelie1234567 | message: up
timestamp: 24 Apr 2016 21:51:10 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 21:51:11 | username: iwantbanhmi | message: up
timestamp: 24 Apr 2016 21:51:26 | username: iwantbanhmi | message: up
